Season;Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
2010;02/10/2010;160;Freiburg;192;FC Koln;3;2;H;2.25;3.3;3.2;2.07;1.72;78;
2010;02/10/2010;175;Hamburg;745;Kaiserslautern;2;1;H;1.5;4;6.75;1.67;2.14;78;
2010;02/10/2010;164;Mainz;167;Hoffenheim;4;2;H;2.2;3.3;3.3;1.87;1.89;78;
2010;02/10/2010;163;M'gladbach;161;Wolfsburg;1;1;D;3.5;3.4;2.05;1.49;2.48;78;
2010;02/10/2010;171;Nurnberg;174;Schalke 04;2;1;H;3;3.4;2.3;1.92;1.85;78;
2010;03/10/2010;165;Dortmund;157;Bayern Munich;2;0;H;2.55;3.3;2.7;1.61;2.25;78;
2010;03/10/2010;168;Leverkusen;162;Werder Bremen;2;2;D;2.1;3.4;3.4;1.53;2.38;78;
2010;03/10/2010;172;Stuttgart;169;Ein Frankfurt;1;2;A;1.91;3.5;3.9;1.66;2.15;78;
2010;15/10/2010;192;FC Koln;165;Dortmund;1;2;A;4.33;3.6;1.8;1.83;1.93;78;
2010;16/10/2010;157;Bayern Munich;166;Hannover;3;0;H;1.4;4.5;7.5;1.61;2.24;78;
2010;16/10/2010;164;Mainz;175;Hamburg;0;1;A;2.25;3.4;3.1;1.86;1.91;78;
2010;16/10/2010;174;Schalke 04;172;Stuttgart;2;2;D;2;3.4;3.75;1.68;2.12;78;
2010;16/10/2010;186;St Pauli;171;Nurnberg;3;2;H;2.25;3.2;3.4;2.03;1.74;78;
2010;16/10/2010;162;Werder Bremen;160;Freiburg;2;1;H;1.53;4.33;5.5;1.44;2.64;78;
2010;16/10/2010;161;Wolfsburg;168;Leverkusen;2;3;A;2.3;3.4;3;1.45;2.59;78;
2010;17/10/2010;167;Hoffenheim;163;M'gladbach;3;2;H;1.65;3.75;5.25;1.56;2.33;78;
2010;17/10/2010;745;Kaiserslautern;169;Ein Frankfurt;0;3;A;2.38;3.25;3;1.85;1.91;78;
2010;22/10/2010;175;Hamburg;157;Bayern Munich;0;0;D;2.63;3.3;2.63;1.9;1.87;78;
2010;23/10/2010;169;Ein Frankfurt;174;Schalke 04;0;0;D;2.8;3.25;2.5;1.75;2.04;78;
2010;23/10/2010;160;Freiburg;745;Kaiserslautern;2;1;H;2.25;3.25;3.2;1.88;1.89;78;
2010;23/10/2010;166;Hannover;192;FC Koln;2;1;H;2.1;3.25;3.5;1.88;1.88;78;
2010;23/10/2010;163;M'gladbach;162;Werder Bremen;1;4;A;3.3;3.5;2.1;1.44;2.65;78;
2010;23/10/2010;171;Nurnberg;161;Wolfsburg;2;1;H;2.9;3.3;2.38;1.65;2.19;78;
2010;24/10/2010;165;Dortmund;167;Hoffenheim;1;1;D;1.75;3.6;4.6;1.57;2.31;78;
2010;24/10/2010;168;Leverkusen;164;Mainz;0;1;A;1.8;3.75;4.2;1.57;2.29;78;
2010;24/10/2010;172;Stuttgart;186;St Pauli;2;0;H;1.67;3.75;5;1.56;2.32;78;
2010;29/10/2010;157;Bayern Munich;160;Freiburg;4;2;H;1.29;5;11;1.58;2.3;78;
2010;30/10/2010;192;FC Koln;175;Hamburg;3;2;H;3.7;3.4;2;1.91;1.85;78;
2010;30/10/2010;745;Kaiserslautern;163;M'gladbach;3;0;H;2.1;3.4;3.4;1.65;2.19;78;
2010;30/10/2010;174;Schalke 04;168;Leverkusen;0;1;A;2.5;3.3;2.75;1.7;2.11;78;
2010;30/10/2010;186;St Pauli;169;Ein Frankfurt;1;3;A;2.5;3.25;2.8;1.79;1.99;78;
2010;30/10/2010;162;Werder Bremen;171;Nurnberg;2;3;A;1.5;4.33;6;1.47;2.56;78;
2010;30/10/2010;161;Wolfsburg;172;Stuttgart;2;0;H;2.1;3.4;3.4;1.48;2.54;78;
2010;31/10/2010;167;Hoffenheim;166;Hannover;4;0;H;1.62;3.7;5.5;1.67;2.15;78;
2010;31/10/2010;164;Mainz;165;Dortmund;0;2;A;2.75;3.3;2.5;1.79;1.99;78;
2010;05/11/2010;174;Schalke 04;186;St Pauli;3;0;H;1.7;3.6;5;1.77;2.02;78;
2010;06/11/2010;169;Ein Frankfurt;161;Wolfsburg;3;1;H;2.38;3.4;2.88;1.53;2.41;78;
2010;06/11/2010;160;Freiburg;164;Mainz;1;0;H;2.9;3.3;2.4;1.8;1.97;78;
2010;06/11/2010;175;Hamburg;167;Hoffenheim;2;1;H;2.25;3.25;3.2;1.79;1.99;78;
2010;06/11/2010;163;M'gladbach;157;Bayern Munich;3;3;D;5.5;4;1.57;1.53;2.42;78;
2010;06/11/2010;171;Nurnberg;192;FC Koln;3;1;H;2;3.4;3.75;1.9;1.87;78;
2010;07/11/2010;166;Hannover;165;Dortmund;0;4;A;4.33;3.6;1.8;1.66;2.17;78;
2010;07/11/2010;168;Leverkusen;745;Kaiserslautern;3;1;H;1.44;4.5;6.5;1.56;2.31;78;
2010;07/11/2010;172;Stuttgart;162;Werder Bremen;6;0;H;2.5;3.3;2.75;1.49;2.51;78;
2010;12/11/2010;165;Dortmund;175;Hamburg;2;0;H;1.73;3.75;4.5;1.73;2.07;78;
2010;13/11/2010;192;FC Koln;163;M'gladbach;0;4;A;2.1;3.5;3.3;1.62;2.22;78;
2010;13/11/2010;745;Kaiserslautern;172;Stuttgart;3;3;D;3;3.4;2.3;1.69;2.11;78;
2010;13/11/2010;164;Mainz;166;Hannover;0;1;A;1.73;3.5;5;1.84;1.93;78;
2010;13/11/2010;186;St Pauli;168;Leverkusen;0;1;A;3.4;3.4;2.1;1.71;2.09;78;
2010;13/11/2010;162;Werder Bremen;169;Ein Frankfurt;0;0;D;1.91;3.6;3.75;1.44;2.65;78;
2010;13/11/2010;161;Wolfsburg;174;Schalke 04;2;2;D;2.25;3.5;3;1.62;2.23;78;
2010;14/11/2010;157;Bayern Munich;171;Nurnberg;3;0;H;1.33;5;8.5;1.52;2.42;78;
2010;14/11/2010;167;Hoffenheim;160;Freiburg;0;1;A;1.62;3.75;5.5;1.57;2.32;78;
2010;20/11/2010;169;Ein Frankfurt;167;Hoffenheim;0;4;A;2.25;3.4;3.1;1.78;2.01;78;
2010;20/11/2010;160;Freiburg;165;Dortmund;1;2;A;5.5;3.75;1.62;1.71;2.1;78;
2010;20/11/2010;166;Hannover;175;Hamburg;3;2;H;2.88;3.4;2.38;1.77;2.02;78;
2010;20/11/2010;168;Leverkusen;157;Bayern Munich;1;1;D;3;3.4;2.3;1.69;2.13;78;
2010;20/11/2010;163;M'gladbach;164;Mainz;2;3;A;2.4;3.4;2.8;1.69;2.13;78;
2010;20/11/2010;171;Nurnberg;745;Kaiserslautern;1;3;A;1.95;3.5;3.75;1.78;2;78;
2010;20/11/2010;174;Schalke 04;162;Werder Bremen;4;0;H;2.2;3.4;3.2;1.68;2.14;78;
2010;21/11/2010;186;St Pauli;161;Wolfsburg;1;1;D;3.2;3.4;2.2;1.57;2.3;78;
2010;21/11/2010;172;Stuttgart;192;FC Koln;0;1;A;1.53;4;6;1.58;2.27;78;
2010;26/11/2010;164;Mainz;171;Nurnberg;3;0;H;1.85;3.4;4.33;1.92;1.84;78;
2010;27/11/2010;157;Bayern Munich;169;Ein Frankfurt;4;1;H;1.36;4.75;8;1.55;2.36;78;
2010;27/11/2010;165;Dortmund;163;M'gladbach;4;1;H;1.29;5.5;9.5;1.41;2.74;78;
2010;27/11/2010;175;Hamburg;172;Stuttgart;4;2;H;2.1;3.3;3.5;1.65;2.18;78;
2010;27/11/2010;166;Hannover;160;Freiburg;3;0;H;2.25;3.2;3.25;1.84;1.92;78;
2010;27/11/2010;167;Hoffenheim;168;Leverkusen;2;2;D;2.55;3.3;2.7;1.92;1.84;78;
2010;27/11/2010;745;Kaiserslautern;174;Schalke 04;5;0;H;3.25;3.3;2.2;1.84;1.91;78;
2010;28/11/2010;192;FC Koln;161;Wolfsburg;1;1;D;2.8;3.3;2.45;1.74;2.03;78;
