HomeTeamName,HomeTeamid,Div
Ajaccio,98,61
Ajaccio GFCO,98,61
Amiens,87,61
Angers,77,61
Arles,4652,61
Auxerre,108,61
Bastia,1305,61
Bordeaux,78,61
Brest,106,61
Caen,88,61
Clermont,99,61
Dijon,89,61
Evian Thonon Gaillard,3006,61
Guingamp,90,61
Lens,116,61
Lille,79,61
Lorient,97,61
Lyon,80,61
Marseille,81,61
Metz,112,61
Monaco,91,61
Montpellier,82,61
Nancy,102,61
Nantes,83,61
Nice,84,61
Nimes,92,61
Paris SG,85,61
Reims,93,61
Rennes,94,61
Sochaux,115,61
St Etienne,1063,61
Strasbourg,95,61
Toulouse,96,61
Troyes,110,61
Valenciennes,105,61
