Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;
20/11/2010;562;Newcastle;0;5;1;H;
20/11/2010;598;West Ham;0;3;0;H;
20/11/2010;599;Wigan;0;2;0;H;
20/11/2010;0;Stoke;0;0;3;A;
21/11/2010;495;Aston Villa;0;2;0;H;
21/11/2010;555;Man City;0;1;4;A;
22/11/2010;8560;Everton;0;2;2;D;
27/11/2010;494;Arsenal;0;2;4;A;
27/11/2010;501;Blackpool;0;2;2;D;
27/11/2010;597;West Brom;0;1;4;A;
27/11/2010;12596;Birmingham;0;1;1;D;
27/11/2010;500;Blackburn;0;7;1;H;
27/11/2010;555;Man City;0;1;1;D;
27/11/2010;599;Wigan;0;3;1;H;
27/11/2010;589;Sunderland;0;3;2;H;
28/11/2010;519;Chelsea;0;1;1;D;
28/11/2010;550;Liverpool;0;2;1;H;
04/12/2010;535;Fulham;0;2;1;H;
04/12/2010;593;Tottenham;0;1;1;D;
04/12/2010;600;Wolves;0;3;0;H;
04/12/2010;8560;Everton;0;1;1;D;
04/12/2010;502;Bolton;0;1;0;H;
04/12/2010;0;Stoke;0;2;2;D;
05/12/2010;598;West Ham;0;1;0;H;
05/12/2010;562;Newcastle;0;3;1;H;
06/12/2010;495;Aston Villa;0;3;0;H;
11/12/2010;597;West Brom;0;2;1;H;
11/12/2010;599;Wigan;0;0;0;D;
11/12/2010;589;Sunderland;0;0;0;D;
11/12/2010;550;Liverpool;0;3;1;H;
11/12/2010;501;Blackpool;0;0;1;A;
11/12/2010;555;Man City;0;1;3;A;
12/12/2010;500;Blackburn;0;2;1;H;
12/12/2010;519;Chelsea;0;1;1;D;
12/12/2010;12596;Birmingham;0;1;0;H;
13/12/2010;494;Arsenal;0;1;0;H;
18/12/2010;598;West Ham;0;1;1;D;
18/12/2010;502;Bolton;0;1;0;H;
20/12/2010;8560;Everton;0;1;2;A;
26/12/2010;593;Tottenham;0;1;2;A;
26/12/2010;0;Stoke;0;0;2;A;
26/12/2010;597;West Brom;0;2;0;H;
26/12/2010;598;West Ham;0;1;3;A;
26/12/2010;589;Sunderland;0;2;0;H;
26/12/2010;555;Man City;0;1;3;A;
26/12/2010;599;Wigan;0;1;2;A;
27/12/2010;519;Chelsea;0;3;1;H;
28/12/2010;556;Man United;0;1;1;D;
28/12/2010;495;Aston Villa;0;4;0;H;
28/12/2010;535;Fulham;0;0;2;A;
28/12/2010;501;Blackpool;0;0;2;A;
28/12/2010;562;Newcastle;0;2;0;H;
28/12/2010;500;Blackburn;0;1;3;A;
28/12/2010;8560;Everton;0;1;1;D;
29/12/2010;502;Bolton;0;1;0;H;
29/12/2010;600;Wolves;0;0;1;A;
29/12/2010;494;Arsenal;0;2;2;D;
01/01/2011;494;Arsenal;0;0;3;A;
01/01/2011;502;Bolton;0;2;1;H;
01/01/2011;501;Blackpool;0;1;0;H;
01/01/2011;8560;Everton;0;2;0;H;
01/01/2011;500;Blackburn;0;3;0;H;
01/01/2011;535;Fulham;0;1;0;H;
01/01/2011;556;Man United;0;1;2;A;
01/01/2011;600;Wolves;0;2;0;H;
02/01/2011;495;Aston Villa;0;3;3;D;
02/01/2011;562;Newcastle;0;0;1;A;
04/01/2011;12596;Birmingham;0;1;2;A;
04/01/2011;597;West Brom;0;3;0;H;
04/01/2011;0;Stoke;0;2;1;H;
05/01/2011;555;Man City;0;0;0;D;
05/01/2011;589;Sunderland;0;0;1;A;
05/01/2011;550;Liverpool;0;3;1;H;
05/01/2011;599;Wigan;0;1;1;D;
05/01/2011;593;Tottenham;0;2;1;H;
05/01/2011;598;West Ham;0;5;0;H;
05/01/2011;519;Chelsea;0;1;0;H;
12/01/2011;550;Liverpool;0;2;1;H;
15/01/2011;500;Blackburn;0;2;0;H;
15/01/2011;600;Wolves;0;4;3;H;
15/01/2011;502;Bolton;0;2;0;H;
15/01/2011;501;Blackpool;0;3;2;H;
15/01/2011;494;Arsenal;0;0;3;A;
15/01/2011;535;Fulham;0;1;1;D;
16/01/2011;495;Aston Villa;0;1;1;D;
16/01/2011;8560;Everton;0;2;2;D;
16/01/2011;562;Newcastle;0;1;1;D;
16/01/2011;556;Man United;0;0;0;D;
22/01/2011;599;Wigan;0;3;0;H;
22/01/2011;555;Man City;0;1;0;H;
22/01/2011;589;Sunderland;0;1;2;A;
22/01/2011;598;West Ham;0;2;2;D;
22/01/2011;0;Stoke;0;2;0;H;
22/01/2011;12596;Birmingham;0;5;0;H;
22/01/2011;593;Tottenham;0;1;1;D;
22/01/2011;550;Liverpool;0;0;3;A;
23/01/2011;597;West Brom;0;2;0;H;
24/01/2011;519;Chelsea;0;0;4;A;
25/01/2011;556;Man United;0;2;3;A;
25/01/2011;495;Aston Villa;0;1;2;A;
26/01/2011;535;Fulham;0;1;0;H;
01/02/2011;8560;Everton;0;2;1;H;
01/02/2011;495;Aston Villa;0;3;1;H;
01/02/2011;519;Chelsea;0;2;4;A;
01/02/2011;599;Wigan;0;2;2;D;
02/02/2011;555;Man City;0;2;2;D;
02/02/2011;593;Tottenham;0;0;1;A;
02/02/2011;598;West Ham;0;1;3;A;
02/02/2011;600;Wolves;0;1;0;H;
02/02/2011;562;Newcastle;0;1;0;H;
02/02/2011;0;Stoke;0;2;0;H;
05/02/2011;535;Fulham;0;2;2;D;
05/02/2011;501;Blackpool;0;5;3;H;
05/02/2011;597;West Brom;0;3;0;H;
05/02/2011;494;Arsenal;0;4;4;D;
05/02/2011;589;Sunderland;0;3;2;H;
05/02/2011;502;Bolton;0;2;1;H;
05/02/2011;500;Blackburn;0;4;3;H;
05/02/2011;556;Man United;0;2;1;H;
06/02/2011;550;Liverpool;0;0;1;A;
06/02/2011;12596;Birmingham;0;0;1;A;
12/02/2011;600;Wolves;0;2;0;H;
12/02/2011;0;Stoke;0;1;0;H;
12/02/2011;562;Newcastle;0;0;0;D;
12/02/2011;495;Aston Villa;0;1;1;D;
12/02/2011;599;Wigan;0;1;1;D;
12/02/2011;555;Man City;0;2;1;H;
12/02/2011;593;Tottenham;0;1;2;A;
12/02/2011;598;West Ham;0;3;3;D;
13/02/2011;8560;Everton;0;2;0;H;
14/02/2011;519;Chelsea;0;0;0;D;
15/02/2011;562;Newcastle;0;0;2;A;
20/02/2011;600;Wolves;0;1;1;D;
22/02/2011;593;Tottenham;0;3;1;H;
23/02/2011;0;Stoke;0;1;0;H;
26/02/2011;500;Blackburn;0;4;1;H;
26/02/2011;589;Sunderland;0;2;0;H;
26/02/2011;502;Bolton;0;1;1;D;
26/02/2011;556;Man United;0;0;4;A;
26/02/2011;501;Blackpool;0;4;0;H;
27/02/2011;535;Fulham;0;1;1;D;
27/02/2011;550;Liverpool;0;3;1;H;
28/02/2011;597;West Brom;0;1;1;D;
01/03/2011;556;Man United;0;2;1;H;
05/03/2011;589;Sunderland;0;0;0;D;
05/03/2011;597;West Brom;0;1;3;A;
05/03/2011;495;Aston Villa;0;3;2;H;
05/03/2011;500;Blackburn;0;3;2;H;
05/03/2011;599;Wigan;0;1;0;H;
05/03/2011;8560;Everton;0;1;2;A;
05/03/2011;0;Stoke;0;3;0;H;
06/03/2011;556;Man United;0;3;1;H;
06/03/2011;593;Tottenham;0;3;3;D;
07/03/2011;519;Chelsea;0;1;3;A;
09/03/2011;12596;Birmingham;0;1;1;D;
19/03/2011;600;Wolves;0;0;1;A;
19/03/2011;501;Blackpool;0;2;2;D;
19/03/2011;535;Fulham;0;2;1;H;
19/03/2011;502;Bolton;0;1;0;H;
19/03/2011;562;Newcastle;0;4;0;H;
19/03/2011;598;West Ham;0;0;0;D;
19/03/2011;494;Arsenal;0;2;2;D;
19/03/2011;12596;Birmingham;0;2;1;H;
20/03/2011;555;Man City;0;2;0;H;
20/03/2011;550;Liverpool;0;0;2;A;
02/04/2011;500;Blackburn;0;0;0;D;
02/04/2011;502;Bolton;0;2;1;H;
02/04/2011;495;Aston Villa;0;2;2;D;
02/04/2011;600;Wolves;0;4;1;H;
02/04/2011;519;Chelsea;0;1;1;D;
02/04/2011;550;Liverpool;0;2;1;H;
02/04/2011;556;Man United;0;2;4;A;
02/04/2011;593;Tottenham;0;0;0;D;
03/04/2011;501;Blackpool;0;3;0;H;
03/04/2011;589;Sunderland;0;5;0;H;
09/04/2011;12596;Birmingham;0;1;1;D;
09/04/2011;598;West Ham;0;3;0;H;
09/04/2011;599;Wigan;0;1;0;H;
09/04/2011;535;Fulham;0;2;0;H;
09/04/2011;597;West Brom;0;2;3;A;
09/04/2011;0;Stoke;0;3;2;H;
09/04/2011;8560;Everton;0;0;3;A;
10/04/2011;562;Newcastle;0;1;0;H;
10/04/2011;494;Arsenal;0;1;3;A;
11/04/2011;555;Man City;0;3;0;H;
16/04/2011;589;Sunderland;0;2;0;H;
16/04/2011;599;Wigan;0;1;3;A;
16/04/2011;500;Blackburn;0;2;0;H;
16/04/2011;519;Chelsea;0;1;3;A;
16/04/2011;495;Aston Villa;0;1;2;A;
17/04/2011;550;Liverpool;0;1;1;D;
19/04/2011;556;Man United;0;0;0;D;
20/04/2011;12596;Birmingham;0;3;1;H;
20/04/2011;494;Arsenal;0;3;3;D;
23/04/2011;0;Stoke;0;1;1;D;
23/04/2011;562;Newcastle;0;1;1;D;
23/04/2011;598;West Ham;0;3;0;H;
23/04/2011;12596;Birmingham;0;5;0;H;
23/04/2011;8560;Everton;0;1;0;H;
23/04/2011;599;Wigan;0;4;2;H;
23/04/2011;597;West Brom;0;2;2;D;
23/04/2011;535;Fulham;0;1;1;D;
24/04/2011;494;Arsenal;0;2;1;H;
25/04/2011;555;Man City;0;0;1;A;
26/04/2011;600;Wolves;0;3;0;H;
27/04/2011;502;Bolton;0;3;0;H;
30/04/2011;502;Bolton;0;1;0;H;
30/04/2011;0;Stoke;0;0;0;D;
30/04/2011;593;Tottenham;0;2;1;H;
30/04/2011;535;Fulham;0;0;3;A;
30/04/2011;495;Aston Villa;0;2;1;H;
30/04/2011;8560;Everton;0;1;1;D;
01/05/2011;556;Man United;0;1;0;H;
01/05/2011;600;Wolves;0;1;1;D;
01/05/2011;562;Newcastle;0;3;0;H;
01/05/2011;598;West Ham;0;2;1;H;
07/05/2011;599;Wigan;0;1;1;D;
07/05/2011;589;Sunderland;0;1;2;A;
07/05/2011;555;Man City;0;2;1;H;
07/05/2011;12596;Birmingham;0;2;1;H;
07/05/2011;501;Blackpool;0;1;1;D;
07/05/2011;500;Blackburn;0;1;1;D;
08/05/2011;519;Chelsea;0;2;1;H;
08/05/2011;494;Arsenal;0;3;1;H;
08/05/2011;597;West Brom;0;3;1;H;
09/05/2011;550;Liverpool;0;2;5;A;
10/05/2011;593;Tottenham;0;1;0;H;
14/05/2011;556;Man United;0;1;1;D;
14/05/2011;502;Bolton;0;4;3;H;
14/05/2011;600;Wolves;0;1;3;A;
14/05/2011;8560;Everton;0;1;0;H;
15/05/2011;495;Aston Villa;0;1;2;A;
15/05/2011;535;Fulham;0;0;2;A;
15/05/2011;562;Newcastle;0;2;2;D;
15/05/2011;593;Tottenham;0;0;2;A;
15/05/2011;598;West Ham;0;3;2;H;
17/05/2011;0;Stoke;0;3;0;H;
22/05/2011;550;Liverpool;0;1;0;H;
22/05/2011;555;Man City;0;0;2;A;
22/05/2011;519;Chelsea;0;1;0;H;
22/05/2011;494;Arsenal;0;2;2;D;
22/05/2011;501;Blackpool;0;4;2;H;
22/05/2011;597;West Brom;0;3;3;D;
22/05/2011;599;Wigan;0;0;1;A;
22/05/2011;12596;Birmingham;0;2;1;H;
22/05/2011;589;Sunderland;0;0;3;A;
22/05/2011;500;Blackburn;0;2;3;A;
13/08/2011;600;Wolves;0;1;2;A;
13/08/2011;495;Aston Villa;0;0;0;D;
13/08/2011;589;Sunderland;0;1;1;D;
13/08/2011;494;Arsenal;0;0;0;D;
13/08/2011;502;Bolton;0;0;4;A;
13/08/2011;565;Norwich;0;1;1;D;
14/08/2011;519;Chelsea;0;0;0;D;
14/08/2011;556;Man United;0;1;2;A;
15/08/2011;12273;Swansea;0;4;0;H;
20/08/2011;550;Liverpool;0;0;2;A;
20/08/2011;500;Blackburn;0;3;1;H;
20/08/2011;597;West Brom;0;2;1;H;
20/08/2011;18619;QPR;0;0;1;A;
20/08/2011;562;Newcastle;0;0;1;A;
20/08/2011;599;Wigan;0;0;0;D;
21/08/2011;555;Man City;0;2;3;A;
21/08/2011;0;Stoke;0;1;1;D;
21/08/2011;535;Fulham;0;2;0;H;
22/08/2011;593;Tottenham;0;3;0;H;
27/08/2011;600;Wolves;0;0;0;D;
27/08/2011;8560;Everton;0;0;1;A;
27/08/2011;565;Norwich;0;3;1;H;
27/08/2011;502;Bolton;0;3;1;H;
27/08/2011;589;Sunderland;0;0;0;D;
27/08/2011;18619;QPR;0;2;0;H;
28/08/2011;494;Arsenal;0;8;2;H;
28/08/2011;535;Fulham;0;2;1;H;
28/08/2011;555;Man City;0;1;5;A;
28/08/2011;0;Stoke;0;0;1;A;
10/09/2011;12273;Swansea;0;1;0;H;
10/09/2011;556;Man United;0;0;5;A;
10/09/2011;495;Aston Villa;0;2;2;D;
10/09/2011;599;Wigan;0;3;0;H;
10/09/2011;550;Liverpool;0;1;0;H;
10/09/2011;519;Chelsea;0;1;2;A;
10/09/2011;593;Tottenham;0;0;2;A;
11/09/2011;500;Blackburn;0;1;1;D;
11/09/2011;597;West Brom;0;0;1;A;
12/09/2011;562;Newcastle;0;0;0;D;
17/09/2011;562;Newcastle;0;1;1;D;
17/09/2011;494;Arsenal;0;4;3;H;
17/09/2011;565;Norwich;0;1;2;A;
17/09/2011;599;Wigan;0;3;1;H;
17/09/2011;597;West Brom;0;3;0;H;
17/09/2011;18619;QPR;0;0;3;A;
18/09/2011;555;Man City;0;2;2;D;
18/09/2011;519;Chelsea;0;3;1;H;
18/09/2011;0;Stoke;0;4;0;H;
18/09/2011;550;Liverpool;0;4;0;H;
24/09/2011;502;Bolton;0;3;0;H;
24/09/2011;12273;Swansea;0;4;1;H;
24/09/2011;600;Wolves;0;2;1;H;
24/09/2011;8560;Everton;0;2;0;H;
24/09/2011;500;Blackburn;0;3;1;H;
24/09/2011;556;Man United;0;1;1;D;
24/09/2011;535;Fulham;0;0;0;D;
24/09/2011;593;Tottenham;0;1;2;A;
25/09/2011;495;Aston Villa;0;1;1;D;
26/09/2011;589;Sunderland;0;2;1;H;
01/10/2011;599;Wigan;0;2;0;H;
01/10/2011;555;Man City;0;0;4;A;
01/10/2011;550;Liverpool;0;0;2;A;
01/10/2011;565;Norwich;0;2;0;H;
