Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;
20/11/2021;550;Liverpool;494;Arsenal;4;0;
21/11/2021;555;Man City;8560;Everton;3;0;
21/11/2021;593;Tottenham;546;Leeds;2;1;
27/11/2021;494;Arsenal;562;Newcastle;2;0;
27/11/2021;525;Crystal Palace;495;Aston Villa;1;2;
27/11/2021;550;Liverpool;585;Southampton;4;0;
27/11/2021;565;Norwich;600;Wolves;0;0;
27/11/2021;508;Brighton;546;Leeds;0;0;
28/11/2021;10503;Brentford;8560;Everton;1;0;
28/11/2021;547;Leicester;596;Watford;4;2;
28/11/2021;555;Man City;598;West Ham;2;1;
28/11/2021;519;Chelsea;556;Man United;1;1;
30/11/2021;562;Newcastle;565;Norwich;1;1;
30/11/2021;546;Leeds;525;Crystal Palace;1;0;
01/12/2021;585;Southampton;547;Leicester;2;2;
01/12/2021;596;Watford;519;Chelsea;1;2;
01/12/2021;598;West Ham;508;Brighton;1;1;
01/12/2021;600;Wolves;512;Burnley;0;0;
01/12/2021;495;Aston Villa;555;Man City;1;2;
01/12/2021;8560;Everton;550;Liverpool;1;4;
02/12/2021;593;Tottenham;10503;Brentford;2;0;
02/12/2021;556;Man United;494;Arsenal;3;2;
04/12/2021;598;West Ham;519;Chelsea;3;2;
04/12/2021;562;Newcastle;512;Burnley;1;0;
04/12/2021;585;Southampton;508;Brighton;1;1;
04/12/2021;600;Wolves;550;Liverpool;0;1;
04/12/2021;596;Watford;555;Man City;1;3;
05/12/2021;546;Leeds;10503;Brentford;2;2;
05/12/2021;556;Man United;525;Crystal Palace;1;0;
05/12/2021;593;Tottenham;565;Norwich;3;0;
05/12/2021;495;Aston Villa;547;Leicester;2;1;
06/12/2021;8560;Everton;494;Arsenal;2;1;
10/12/2021;10503;Brentford;596;Watford;2;1;
11/12/2021;555;Man City;600;Wolves;1;0;
11/12/2021;494;Arsenal;585;Southampton;3;0;
11/12/2021;519;Chelsea;546;Leeds;3;2;
11/12/2021;550;Liverpool;495;Aston Villa;1;0;
11/12/2021;565;Norwich;556;Man United;0;1;
12/12/2021;512;Burnley;598;West Ham;0;0;
12/12/2021;547;Leicester;562;Newcastle;4;0;
12/12/2021;525;Crystal Palace;8560;Everton;3;1;
14/12/2021;565;Norwich;495;Aston Villa;0;2;
14/12/2021;555;Man City;546;Leeds;7;0;
15/12/2021;508;Brighton;600;Wolves;0;1;
15/12/2021;525;Crystal Palace;585;Southampton;2;2;
15/12/2021;494;Arsenal;598;West Ham;2;0;
16/12/2021;519;Chelsea;8560;Everton;1;1;
16/12/2021;550;Liverpool;562;Newcastle;3;1;
18/12/2021;546;Leeds;494;Arsenal;1;4;
19/12/2021;562;Newcastle;555;Man City;0;4;
19/12/2021;600;Wolves;519;Chelsea;0;0;
19/12/2021;593;Tottenham;550;Liverpool;2;2;
26/12/2021;555;Man City;547;Leicester;6;3;
26/12/2021;565;Norwich;494;Arsenal;0;5;
26/12/2021;593;Tottenham;525;Crystal Palace;3;0;
26/12/2021;598;West Ham;585;Southampton;2;3;
26/12/2021;495;Aston Villa;519;Chelsea;1;3;
26/12/2021;508;Brighton;10503;Brentford;2;0;
27/12/2021;562;Newcastle;556;Man United;1;1;
28/12/2021;525;Crystal Palace;565;Norwich;3;0;
28/12/2021;585;Southampton;593;Tottenham;1;1;
28/12/2021;596;Watford;598;West Ham;1;4;
28/12/2021;547;Leicester;550;Liverpool;1;0;
29/12/2021;519;Chelsea;508;Brighton;1;1;
29/12/2021;10503;Brentford;555;Man City;0;1;
30/12/2021;556;Man United;512;Burnley;3;1;
01/01/2022;494;Arsenal;555;Man City;1;2;
01/01/2022;596;Watford;593;Tottenham;0;1;
01/01/2022;525;Crystal Palace;598;West Ham;2;3;
02/01/2022;10503;Brentford;495;Aston Villa;2;1;
02/01/2022;8560;Everton;508;Brighton;2;3;
02/01/2022;546;Leeds;512;Burnley;3;1;
02/01/2022;519;Chelsea;550;Liverpool;2;2;
03/01/2022;556;Man United;600;Wolves;0;1;
11/01/2022;585;Southampton;10503;Brentford;4;1;
12/01/2022;598;West Ham;565;Norwich;2;0;
14/01/2022;508;Brighton;525;Crystal Palace;1;1;
15/01/2022;555;Man City;519;Chelsea;1;0;
15/01/2022;562;Newcastle;596;Watford;1;1;
15/01/2022;565;Norwich;8560;Everton;2;1;
15/01/2022;600;Wolves;585;Southampton;3;1;
15/01/2022;495;Aston Villa;556;Man United;2;2;
16/01/2022;550;Liverpool;10503;Brentford;3;0;
16/01/2022;598;West Ham;546;Leeds;2;3;
18/01/2022;508;Brighton;519;Chelsea;1;1;
19/01/2022;547;Leicester;593;Tottenham;2;3;
19/01/2022;10503;Brentford;556;Man United;1;3;
21/01/2022;596;Watford;565;Norwich;0;3;
22/01/2022;8560;Everton;495;Aston Villa;0;1;
22/01/2022;10503;Brentford;600;Wolves;1;2;
22/01/2022;546;Leeds;562;Newcastle;0;1;
22/01/2022;556;Man United;598;West Ham;1;0;
22/01/2022;585;Southampton;555;Man City;1;1;
23/01/2022;494;Arsenal;512;Burnley;0;0;
23/01/2022;525;Crystal Palace;550;Liverpool;1;3;
23/01/2022;547;Leicester;508;Brighton;1;1;
23/01/2022;519;Chelsea;593;Tottenham;2;0;
05/02/2022;512;Burnley;596;Watford;0;0;
08/02/2022;562;Newcastle;8560;Everton;3;1;
08/02/2022;598;West Ham;596;Watford;1;0;
08/02/2022;512;Burnley;556;Man United;1;1;
09/02/2022;555;Man City;10503;Brentford;2;0;
09/02/2022;565;Norwich;525;Crystal Palace;1;1;
09/02/2022;593;Tottenham;585;Southampton;2;3;
09/02/2022;495;Aston Villa;546;Leeds;3;3;
10/02/2022;550;Liverpool;547;Leicester;2;0;
10/02/2022;600;Wolves;494;Arsenal;0;1;
12/02/2022;556;Man United;585;Southampton;1;1;
12/02/2022;10503;Brentford;525;Crystal Palace;0;0;
12/02/2022;8560;Everton;546;Leeds;3;0;
12/02/2022;596;Watford;508;Brighton;0;2;
12/02/2022;565;Norwich;555;Man City;0;4;
13/02/2022;512;Burnley;550;Liverpool;0;1;
13/02/2022;562;Newcastle;495;Aston Villa;1;0;
13/02/2022;593;Tottenham;600;Wolves;0;2;
13/02/2022;547;Leicester;598;West Ham;2;2;
15/02/2022;556;Man United;508;Brighton;2;0;
19/02/2022;598;West Ham;562;Newcastle;1;1;
19/02/2022;494;Arsenal;10503;Brentford;2;1;
19/02/2022;495;Aston Villa;596;Watford;0;1;
19/02/2022;508;Brighton;512;Burnley;0;3;
19/02/2022;525;Crystal Palace;519;Chelsea;0;1;
19/02/2022;550;Liverpool;565;Norwich;3;1;
19/02/2022;585;Southampton;8560;Everton;2;0;
19/02/2022;555;Man City;593;Tottenham;2;3;
20/02/2022;546;Leeds;556;Man United;2;4;
20/02/2022;600;Wolves;547;Leicester;2;1;
23/02/2022;512;Burnley;593;Tottenham;1;0;
23/02/2022;596;Watford;525;Crystal Palace;1;4;
23/02/2022;550;Liverpool;546;Leeds;6;0;
24/02/2022;494;Arsenal;600;Wolves;2;1;
25/02/2022;585;Southampton;565;Norwich;2;0;
26/02/2022;546;Leeds;593;Tottenham;0;4;
26/02/2022;10503;Brentford;562;Newcastle;0;2;
26/02/2022;525;Crystal Palace;512;Burnley;1;1;
26/02/2022;556;Man United;596;Watford;0;0;
26/02/2022;508;Brighton;495;Aston Villa;0;2;
26/02/2022;8560;Everton;555;Man City;0;1;
27/02/2022;598;West Ham;600;Wolves;1;0;
01/03/2022;512;Burnley;547;Leicester;0;2;
05/03/2022;547;Leicester;546;Leeds;1;0;
05/03/2022;495;Aston Villa;585;Southampton;4;0;
05/03/2022;512;Burnley;519;Chelsea;0;4;
05/03/2022;562;Newcastle;508;Brighton;2;1;
05/03/2022;565;Norwich;10503;Brentford;1;3;
05/03/2022;600;Wolves;525;Crystal Palace;0;2;
05/03/2022;550;Liverpool;598;West Ham;1;0;
06/03/2022;596;Watford;494;Arsenal;2;3;
06/03/2022;555;Man City;556;Man United;4;1;
07/03/2022;593;Tottenham;8560;Everton;5;0;
10/03/2022;565;Norwich;519;Chelsea;1;3;
10/03/2022;585;Southampton;562;Newcastle;1;2;
10/03/2022;600;Wolves;596;Watford;4;0;
10/03/2022;546;Leeds;495;Aston Villa;0;3;
12/03/2022;508;Brighton;550;Liverpool;0;2;
12/03/2022;10503;Brentford;512;Burnley;2;0;
12/03/2022;556;Man United;593;Tottenham;3;2;
13/03/2022;519;Chelsea;562;Newcastle;1;0;
13/03/2022;8560;Everton;600;Wolves;0;1;
13/03/2022;546;Leeds;565;Norwich;2;1;
13/03/2022;585;Southampton;596;Watford;1;2;
13/03/2022;598;West Ham;495;Aston Villa;2;1;
13/03/2022;494;Arsenal;547;Leicester;2;0;
14/03/2022;525;Crystal Palace;555;Man City;0;0;
16/03/2022;508;Brighton;593;Tottenham;0;2;
16/03/2022;494;Arsenal;550;Liverpool;0;2;
17/03/2022;8560;Everton;562;Newcastle;1;0;
18/03/2022;600;Wolves;546;Leeds;2;3;
19/03/2022;495;Aston Villa;494;Arsenal;0;1;
20/03/2022;547;Leicester;10503;Brentford;2;1;
20/03/2022;593;Tottenham;598;West Ham;3;1;
02/04/2022;550;Liverpool;596;Watford;2;0;
02/04/2022;508;Brighton;565;Norwich;0;0;
02/04/2022;512;Burnley;555;Man City;0;2;
02/04/2022;519;Chelsea;10503;Brentford;1;4;
02/04/2022;546;Leeds;585;Southampton;1;1;
02/04/2022;600;Wolves;495;Aston Villa;2;1;
02/04/2022;556;Man United;547;Leicester;1;1;
03/04/2022;598;West Ham;8560;Everton;2;1;
03/04/2022;593;Tottenham;562;Newcastle;5;1;
04/04/2022;525;Crystal Palace;494;Arsenal;3;0;
06/04/2022;512;Burnley;8560;Everton;3;2;
08/04/2022;562;Newcastle;600;Wolves;1;0;
09/04/2022;8560;Everton;556;Man United;1;0;
09/04/2022;494;Arsenal;508;Brighton;1;2;
09/04/2022;585;Southampton;519;Chelsea;0;6;
09/04/2022;596;Watford;546;Leeds;0;3;
09/04/2022;495;Aston Villa;593;Tottenham;0;4;
10/04/2022;10503;Brentford;598;West Ham;2;0;
10/04/2022;547;Leicester;525;Crystal Palace;2;1;
10/04/2022;565;Norwich;512;Burnley;2;0;
10/04/2022;555;Man City;550;Liverpool;2;2;
16/04/2022;593;Tottenham;508;Brighton;0;1;
16/04/2022;556;Man United;565;Norwich;3;2;
16/04/2022;585;Southampton;494;Arsenal;1;0;
16/04/2022;596;Watford;10503;Brentford;1;2;
17/04/2022;562;Newcastle;547;Leicester;2;1;
17/04/2022;598;West Ham;512;Burnley;1;1;
19/04/2022;550;Liverpool;556;Man United;4;0;
20/04/2022;519;Chelsea;494;Arsenal;2;4;
20/04/2022;8560;Everton;547;Leicester;1;1;
20/04/2022;562;Newcastle;525;Crystal Palace;1;0;
20/04/2022;555;Man City;508;Brighton;3;0;
21/04/2022;512;Burnley;585;Southampton;2;0;
23/04/2022;494;Arsenal;556;Man United;3;1;
23/04/2022;547;Leicester;495;Aston Villa;0;0;
23/04/2022;555;Man City;596;Watford;5;1;
23/04/2022;565;Norwich;562;Newcastle;0;3;
23/04/2022;10503;Brentford;593;Tottenham;0;0;
24/04/2022;508;Brighton;585;Southampton;2;2;
24/04/2022;512;Burnley;600;Wolves;1;0;
24/04/2022;519;Chelsea;598;West Ham;1;0;
24/04/2022;550;Liverpool;8560;Everton;2;0;
25/04/2022;525;Crystal Palace;546;Leeds;0;0;
28/04/2022;556;Man United;519;Chelsea;1;1;
30/04/2022;562;Newcastle;550;Liverpool;0;1;
30/04/2022;495;Aston Villa;565;Norwich;2;0;
30/04/2022;585;Southampton;525;Crystal Palace;1;2;
