Season;Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
2010;30/10/2010;0;Aris;12260;Atromitos;2;0;H;1.6;3.6;6;2.27;1.57;197;
2010;30/10/2010;953;Larisa;0;Xanthi;3;0;H;1.83;3.3;4.6;2.47;1.48;197;
2010;30/10/2010;617;Panathinaikos;0;Olympiakos;2;1;H;2.45;3;3.1;2.23;1.58;197;
2010;31/10/2010;2105;Ergotelis;619;PAOK;1;2;A;3.6;3;2.2;2.47;1.49;197;
2010;31/10/2010;2109;Iraklis;0;Olympiakos Volou;0;0;D;2.1;3.2;3.6;2.44;1.49;197;
2010;31/10/2010;0;Kerkyra;955;Asteras Tripolis;1;2;A;2.15;3.1;3.6;2.49;1.49;197;
2010;31/10/2010;622;Panionios;0;AEK;1;0;H;3.75;3.2;2.05;2.17;1.63;197;
2010;31/10/2010;0;Panserraikos;0;Kavala;1;0;H;2.55;3;2.9;2.4;1.51;197;
2010;06/11/2010;955;Asteras Tripolis;0;Panserraikos;0;2;A;1.8;3.3;4.75;2.42;1.51;197;
2010;06/11/2010;0;Olympiakos;622;Panionios;5;0;H;1.22;5.5;15;1.76;2.02;197;
2010;06/11/2010;0;Olympiakos Volou;0;Kerkyra;1;0;H;2.1;3.1;3.75;2.44;1.5;197;
2010;06/11/2010;0;Xanthi;2109;Iraklis;2;2;D;2.1;3.1;3.75;2.52;1.47;197;
2010;08/11/2010;0;AEK;2105;Ergotelis;3;1;H;1.4;4.2;9;1.99;1.77;197;
2010;08/11/2010;0;Aris;953;Larisa;1;1;D;1.67;3.4;6;2.47;1.48;197;
2010;08/11/2010;12260;Atromitos;617;Panathinaikos;0;1;A;6;3.6;1.6;2.1;1.66;197;
2010;08/11/2010;0;Kavala;619;PAOK;0;1;A;3.2;3;2.38;2.46;1.49;197;
2010;13/11/2010;0;Kerkyra;0;Xanthi;1;1;D;2.2;3.3;3.2;2.5;1.48;197;
2010;13/11/2010;617;Panathinaikos;953;Larisa;1;1;D;1.29;5.25;10;1.88;1.88;197;
2010;13/11/2010;622;Panionios;12260;Atromitos;0;1;A;2.1;3.2;3.6;2.39;1.52;197;
2010;13/11/2010;619;PAOK;0;AEK;2;1;H;2.2;3.2;3.3;2.39;1.52;197;
2010;15/11/2010;955;Asteras Tripolis;0;Kavala;0;1;A;2.1;3.25;3.5;2.48;1.48;197;
2010;15/11/2010;2109;Iraklis;0;Aris;1;0;H;3.1;3.2;2.3;2.53;1.45;197;
2010;15/11/2010;0;Panserraikos;0;Olympiakos Volou;2;2;D;2.55;3.1;2.8;2.4;1.5;197;
2010;20/11/2010;0;Olympiakos Volou;955;Asteras Tripolis;1;1;D;2;3.1;4.2;2.45;1.49;197;
2010;20/11/2010;617;Panathinaikos;2109;Iraklis;4;2;H;1.29;4.75;13;1.98;1.78;197;
