Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
02/10/2010;746;Sunderland;33;Man United;0;0;D;5;3.5;1.75;1.92;1.84;39;
02/10/2010;47;Tottenham;66;Aston Villa;2;1;H;1.91;3.5;4;1.76;2.02;39;
02/10/2010;60;West Brom;68;Bolton;1;1;D;2.1;3.25;3.75;1.85;1.91;39;
02/10/2010;48;West Ham;36;Fulham;1;1;D;2.25;3.25;3.3;2.09;1.7;39;
02/10/2010;61;Wigan;39;Wolves;2;0;H;2.25;3.25;3.3;2.13;1.68;39;
03/10/2010;49;Chelsea;42;Arsenal;2;0;H;1.73;3.6;5;1.81;1.97;39;
03/10/2010;40;Liverpool;1356;Blackpool;1;2;A;1.33;5;10;1.58;2.26;39;
03/10/2010;50;Man City;34;Newcastle;2;1;H;1.44;4;8.5;1.76;2.02;39;
16/10/2010;42;Arsenal;54;Birmingham;2;1;H;1.29;5.5;11;1.5;2.5;39;
16/10/2010;66;Aston Villa;49;Chelsea;0;0;D;5;3.6;1.73;1.84;1.92;39;
16/10/2010;68;Bolton;75;Stoke;2;1;H;2.2;3.2;3.5;2.04;1.74;39;
16/10/2010;36;Fulham;47;Tottenham;1;2;A;2.88;3.25;2.5;2.03;1.76;39;
16/10/2010;33;Man United;60;West Brom;2;2;D;1.25;5.75;12;1.49;2.52;39;
16/10/2010;34;Newcastle;61;Wigan;2;2;D;1.83;3.5;4.5;2.01;1.77;39;
16/10/2010;39;Wolves;48;West Ham;1;1;D;2.25;3.2;3.4;2.1;1.7;39;
17/10/2010;1356;Blackpool;50;Man City;2;3;A;5.5;4;1.62;1.66;2.16;39;
17/10/2010;45;Everton;40;Liverpool;2;0;H;2.4;3.25;3;2.19;1.64;39;
18/10/2010;67;Blackburn;746;Sunderland;0;0;D;2.1;3.3;3.6;2.11;1.69;39;
23/10/2010;54;Birmingham;1356;Blackpool;2;0;H;1.83;3.6;4.33;1.76;2.02;39;
23/10/2010;49;Chelsea;39;Wolves;2;0;H;1.13;8.5;19;1.37;2.95;39;
23/10/2010;746;Sunderland;66;Aston Villa;1;0;H;2.4;3.25;3;2.16;1.67;39;
23/10/2010;47;Tottenham;45;Everton;1;1;D;2.1;3.25;3.75;1.99;1.79;39;
23/10/2010;60;West Brom;36;Fulham;2;1;H;2.2;3.25;3.4;2.03;1.76;39;
23/10/2010;48;West Ham;34;Newcastle;1;2;A;2.38;3.25;3.1;1.96;1.82;39;
23/10/2010;61;Wigan;68;Bolton;1;1;D;2.38;3.25;3.1;2.1;1.71;39;
24/10/2010;40;Liverpool;67;Blackburn;2;1;H;1.67;3.6;5.5;2.05;1.74;39;
24/10/2010;50;Man City;42;Arsenal;0;3;A;2.5;3.2;2.9;1.92;1.85;39;
24/10/2010;75;Stoke;33;Man United;1;2;A;5.5;3.75;1.67;1.95;1.82;39;
30/10/2010;42;Arsenal;48;West Ham;1;0;H;1.17;7;17;1.42;2.71;39;
30/10/2010;67;Blackburn;49;Chelsea;1;2;A;7.5;4.33;1.44;1.83;1.94;39;
30/10/2010;45;Everton;75;Stoke;1;0;H;1.57;3.75;6.5;2.02;1.76;39;
30/10/2010;36;Fulham;61;Wigan;2;0;H;1.91;3.4;4.2;2.07;1.73;39;
30/10/2010;33;Man United;47;Tottenham;2;0;H;1.57;4;6;1.63;2.23;39;
30/10/2010;39;Wolves;50;Man City;2;1;H;5.5;3.4;1.73;2.02;1.76;39;
31/10/2010;66;Aston Villa;54;Birmingham;0;0;D;1.8;3.6;4.5;2.05;1.74;39;
31/10/2010;68;Bolton;40;Liverpool;0;1;A;3.4;3.25;2.2;2.09;1.72;39;
31/10/2010;34;Newcastle;746;Sunderland;5;1;H;2.2;3.2;3.5;1.95;1.82;39;
01/11/2010;1356;Blackpool;60;West Brom;2;1;H;2.9;3.25;2.5;1.72;2.06;39;
06/11/2010;54;Birmingham;48;West Ham;2;2;D;1.91;3.4;4.2;2.12;1.69;39;
06/11/2010;67;Blackburn;61;Wigan;2;1;H;1.8;3.6;4.5;2.05;1.74;39;
06/11/2010;1356;Blackpool;45;Everton;2;2;D;4.5;3.6;1.8;1.78;2;39;
06/11/2010;68;Bolton;47;Tottenham;4;2;H;3;3.3;2.4;1.98;1.8;39;
06/11/2010;36;Fulham;66;Aston Villa;1;1;D;2.2;3.25;3.4;2.26;1.6;39;
06/11/2010;33;Man United;39;Wolves;2;1;H;1.22;6;15;1.6;2.27;39;
06/11/2010;746;Sunderland;75;Stoke;2;0;H;2.1;3.2;3.75;2.27;1.59;39;
07/11/2010;42;Arsenal;34;Newcastle;0;1;A;1.29;5.5;11;1.45;2.61;39;
07/11/2010;40;Liverpool;49;Chelsea;2;0;H;3.8;3.4;2;1.99;1.79;39;
07/11/2010;60;West Brom;50;Man City;0;2;A;3.6;3.3;2.1;1.86;1.9;39;
09/11/2010;75;Stoke;54;Birmingham;3;2;H;2.1;3.2;3.75;2.25;1.61;39;
09/11/2010;47;Tottenham;746;Sunderland;1;1;D;1.53;4;6.5;1.8;1.97;39;
10/11/2010;66;Aston Villa;1356;Blackpool;3;2;H;1.62;3.75;6;1.65;2.17;39;
10/11/2010;49;Chelsea;36;Fulham;1;0;H;1.2;6.5;15;1.55;2.36;39;
10/11/2010;45;Everton;68;Bolton;1;1;D;1.62;3.75;6;1.98;1.79;39;
10/11/2010;50;Man City;33;Man United;0;0;D;2.63;3.25;2.75;2.03;1.76;39;
10/11/2010;34;Newcastle;67;Blackburn;1;2;A;1.91;3.4;4.2;1.96;1.81;39;
10/11/2010;48;West Ham;60;West Brom;2;2;D;2.3;3.25;3.2;1.93;1.84;39;
10/11/2010;61;Wigan;40;Liverpool;1;1;D;4.75;3.6;1.75;2.19;1.64;39;
10/11/2010;39;Wolves;42;Arsenal;0;2;A;5.5;3.6;1.67;1.74;2.04;39;
13/11/2010;66;Aston Villa;33;Man United;2;2;D;4.5;3.6;1.8;2.03;1.75;39;
13/11/2010;50;Man City;54;Birmingham;0;0;D;1.4;4.5;8.5;1.77;2;39;
13/11/2010;34;Newcastle;36;Fulham;0;0;D;1.91;3.4;4.2;1.99;1.79;39;
13/11/2010;75;Stoke;40;Liverpool;2;0;H;3.75;3.25;2.1;2.15;1.67;39;
