Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;
13/12/2020;0;Leicester;0;Brighton;3;0;
15/12/2020;600;Wolves;519;Chelsea;2;1;
15/12/2020;555;Man City;597;West Brom;1;1;
16/12/2020;494;Arsenal;0;Southampton;1;1;
16/12/2020;0;Leeds;562;Newcastle;5;2;
16/12/2020;0;Leicester;8560;Everton;0;2;
16/12/2020;535;Fulham;0;Brighton;0;0;
16/12/2020;550;Liverpool;593;Tottenham;2;1;
16/12/2020;598;West Ham;0;Crystal Palace;1;1;
17/12/2020;495;Aston Villa;0;Burnley;0;0;
17/12/2020;0;Sheffield United;556;Man United;2;3;
19/12/2020;0;Crystal Palace;550;Liverpool;0;7;
19/12/2020;0;Southampton;555;Man City;0;1;
19/12/2020;8560;Everton;494;Arsenal;2;1;
19/12/2020;562;Newcastle;535;Fulham;1;1;
20/12/2020;0;Brighton;0;Sheffield United;1;1;
20/12/2020;593;Tottenham;0;Leicester;0;2;
20/12/2020;556;Man United;0;Leeds;6;2;
20/12/2020;597;West Brom;495;Aston Villa;0;3;
21/12/2020;0;Burnley;600;Wolves;2;1;
21/12/2020;519;Chelsea;598;West Ham;3;0;
26/12/2020;0;Leicester;556;Man United;2;2;
26/12/2020;495;Aston Villa;0;Crystal Palace;3;0;
26/12/2020;535;Fulham;0;Southampton;0;0;
26/12/2020;494;Arsenal;519;Chelsea;3;1;
26/12/2020;555;Man City;562;Newcastle;2;0;
26/12/2020;0;Sheffield United;8560;Everton;0;1;
27/12/2020;0;Leeds;0;Burnley;1;0;
27/12/2020;598;West Ham;0;Brighton;2;2;
27/12/2020;550;Liverpool;597;West Brom;1;1;
27/12/2020;600;Wolves;593;Tottenham;1;1;
28/12/2020;0;Crystal Palace;0;Leicester;1;1;
28/12/2020;519;Chelsea;495;Aston Villa;1;1;
29/12/2020;0;Brighton;494;Arsenal;0;1;
29/12/2020;0;Burnley;0;Sheffield United;1;0;
29/12/2020;0;Southampton;598;West Ham;0;0;
29/12/2020;597;West Brom;0;Leeds;0;5;
29/12/2020;556;Man United;600;Wolves;1;0;
30/12/2020;562;Newcastle;550;Liverpool;0;0;
01/01/2021;8560;Everton;598;West Ham;0;1;
01/01/2021;556;Man United;495;Aston Villa;2;1;
02/01/2021;593;Tottenham;0;Leeds;3;0;
02/01/2021;0;Crystal Palace;0;Sheffield United;2;0;
02/01/2021;0;Brighton;600;Wolves;3;3;
02/01/2021;597;West Brom;494;Arsenal;0;4;
03/01/2021;562;Newcastle;0;Leicester;1;2;
03/01/2021;519;Chelsea;555;Man City;1;3;
04/01/2021;0;Southampton;550;Liverpool;1;0;
12/01/2021;0;Sheffield United;562;Newcastle;1;0;
12/01/2021;0;Burnley;556;Man United;0;1;
12/01/2021;600;Wolves;8560;Everton;1;2;
13/01/2021;555;Man City;0;Brighton;1;0;
13/01/2021;593;Tottenham;535;Fulham;1;1;
14/01/2021;494;Arsenal;0;Crystal Palace;0;0;
16/01/2021;600;Wolves;597;West Brom;2;3;
16/01/2021;0;Leeds;0;Brighton;0;1;
16/01/2021;598;West Ham;0;Burnley;1;0;
16/01/2021;535;Fulham;519;Chelsea;0;1;
16/01/2021;0;Leicester;0;Southampton;2;0;
17/01/2021;0;Sheffield United;593;Tottenham;1;3;
17/01/2021;550;Liverpool;556;Man United;0;0;
17/01/2021;555;Man City;0;Crystal Palace;4;0;
18/01/2021;494;Arsenal;562;Newcastle;3;0;
19/01/2021;598;West Ham;597;West Brom;2;1;
19/01/2021;0;Leicester;519;Chelsea;2;0;
20/01/2021;555;Man City;495;Aston Villa;2;0;
20/01/2021;535;Fulham;556;Man United;1;2;
21/01/2021;550;Liverpool;0;Burnley;0;1;
23/01/2021;495;Aston Villa;562;Newcastle;2;0;
26/01/2021;0;Crystal Palace;598;West Ham;2;3;
26/01/2021;562;Newcastle;0;Leeds;1;2;
26/01/2021;0;Southampton;494;Arsenal;1;3;
26/01/2021;597;West Brom;555;Man City;0;5;
27/01/2021;0;Burnley;495;Aston Villa;3;2;
27/01/2021;519;Chelsea;600;Wolves;0;0;
27/01/2021;0;Brighton;535;Fulham;0;0;
